id,tratamiento,cepa,concentracion,longitudP,superficieP,volumenP,diametroP,nlaterales,densidad,interbranch_distance,longitudL,longitudTotal,diametroL,Exp
150,19,MBI600,control,25.434914,15.99711,0.99204016,0.16491051,83,3.4629233,3.8231275,183.2999621,208.7348761,0.045835163,Exp1
151,19,MBI600,control,15.505657,9.361976,0.5504587,0.16385224,30,3.9004426,0.6754205,94.98091126,110.4865683,0.054034283,Exp1
152,19,MBI600,control,8.891747,5.7440248,0.34565365,0.21186125,36,4.364022,0.5386484,88.95480755,97.84655455,0.056429785,Exp1
153,20,MBI600,1.00E+04,15.9180565,8.398804,0.44106802,0.14638701,42,12.893855,1.073277,103.1123653,119.0304218,0.048749254,Exp1
154,20,MBI600,1.00E+04,23.817766,10.820066,0.51745737,0.1227886,49,3.568862,2.3982615,135.1478265,158.9655925,0.032378057,Exp1
155,20,MBI600,1.00E+04,20.237696,11.074014,0.5995158,0.16819061,50,2.5659132,1.4084977,134.8311363,155.0688323,0.047369007,Exp1
156,20,MBI600,1.00E+04,21.651335,12.383759,0.66686124,0.16554976,57,4.0221806,1.3632185,117.1737338,138.8250688,0.042132116,Exp1
157,20,MBI600,1.00E+04,17.51769,10.639199,0.73873687,0.16193776,49,3.519733,1.5955914,98.23889977,115.7565898,0.045995553,Exp1
158,20,MBI600,1.00E+04,33.674652,16.786108,0.9747193,0.12321974,64,4.0172234,4.468577,168.6192484,202.2939004,0.046895936,Exp1
159,20,MBI600,1.00E+04,20.580854,11.069594,0.65046746,0.14912255,58,4.919187,0.582239,131.3172066,151.8980606,0.040799233,Exp1
160,20,MBI600,1.00E+04,29.44429,15.253783,0.7996932,0.1374703,35,1.2089183,1.5644493,92.85869721,122.3029872,0.05537641,Exp1
161,21,MBI600,1.00E+05,17.323462,9.826474,0.5440682,0.14912622,42,7.6940002,0.38887212,87.78871387,105.1121759,0.049468458,Exp1
162,21,MBI600,1.00E+05,15.517279,10.362269,0.64379144,0.19995798,68,10.251301,0.58283424,163.6662349,179.1835139,0.054809116,Exp1
163,21,MBI600,1.00E+05,23.136286,14.037675,0.86476505,0.17711774,52,3.9194837,0.57732075,144.4752875,167.6115735,0.045207442,Exp1
164,21,MBI600,1.00E+05,21.356817,12.124765,0.65565443,0.16911611,48,2.432521,0.91330343,135.1898636,156.5466806,0.040789615,Exp1
165,21,MBI600,1.00E+05,15.60375,10.282864,0.6489778,0.19951074,58,3.717055,0.59021324,182.738243,198.341993,0.04074135,Exp1
166,21,MBI600,1.00E+05,14.424313,8.570639,0.5068702,0.17266044,72,5.1653323,1.2270325,125.618182,140.042495,0.04236639,Exp1
167,21,MBI600,1.00E+05,28.285517,14.591017,0.71003693,0.13820109,47,2.2788413,0.66389745,108.9545499,137.2400669,0.054054067,Exp1
168,21,MBI600,1.00E+05,26.789808,15.048487,0.8552616,0.16418734,88,4.00309,0.5206483,176.3690751,203.1588831,0.047057588,Exp1
169,22,MBI600,1.00E+06,14.328001,3.0224316,0.061249368,0.06331206,45,4.661265,2.8542116,63.19709281,77.52509381,0.026894843,Exp1
170,22,MBI600,1.00E+06,12.3746914,4.6063162,0.298031042,0.093775197,61,6.05492045,2.5442276,80.31335131,92.68804271,0.027665191,Exp1
171,22,MBI600,1.00E+06,10.508839,2.6740353,0.057880152,0.08250955,58,7.0515413,0.2676777,84.83639736,95.34523636,0.028419294,Exp1
172,22,MBI600,1.00E+06,6.93133,1.918923,0.05196818,0.080833055,37,8.087075,0.18633,66.58904326,73.52037326,0.030826289,Exp1
173,22,MBI600,1.00E+06,10.11754,3.095549,0.08922247,0.0884861,57,7.3118176,0.602637,85.99999134,96.11753134,0.029803329,Exp1
174,22,MBI600,1.00E+06,13.846824,3.9005547,0.118899815,0.07126041,76,6.4962587,0.24563295,83.82797326,97.67479726,0.025527053,Exp1
175,22,MBI600,1.00E+06,20.468924,11.442519,0.68597084,0.14578687,45,3.9454443,1.1386858,98.80566929,119.2745933,0.029682971,Exp1
176,22,MBI600,1.00E+06,20.830826,11.654842,0.67498964,0.16031985,57,3.4373858,0.6833459,99.67566929,120.5064953,0.02840271,Exp1
177,23,MBI600,1.00E+07,20.725172,14.73841,0.9262282,0.21467328,53,2.8629737,5.0880327,144.8879168,165.6130888,0.055730598,Exp1
178,23,MBI600,1.00E+07,22.29581,13.264123,0.754932,0.17168811,40,4.212693,1.1985508,122.2594013,144.5552113,0.056204671,Exp1
179,23,MBI600,1.00E+07,21.732426,11.685582,0.6091803,0.15434088,42,3.4398408,0.651345,78.33545545,100.0678815,0.044219848,Exp1
180,23,MBI600,1.00E+07,25.132988,11.726632,0.595421,0.11670791,30,2.6265683,0.86847025,109.0193187,134.1523067,0.044077674,Exp1
